State,Postgrad,Undergrad,Diploma,Population
NSW,452900,1216700,600200,8157700
VIC,380600,1020000,502900,6689400
QLD,189200,588800,357000,5160000
SA,63000,188900,108600,1767200
WA,102300,309000,190800,2656200
TAS,23400,60100,32200,539600
NT,13600,26300,14200,245400
ACT,44500,71600,29800,429800
